"Method 1: Energy consumption" should be used.
Emissions =  Total energy consumption (fuel, electricity)  x  Emission Factors (fuel, electricity)
- Some PHEVs' onboard data can provide information on the electric and fuel consumption, try to consult the vehicle's user manual or contact the manufacturer for instructions on accessing this information. These can be used to estimate fuel (in litres) and electricity (kWh) consumed.								
	Situation B) 
If there is no data available to estimate fuel/electricity consumption, or how much of the mileage is driven by fuel compared to mileage driven by electricity. Only the total mileage is known.
"Method 2: Generic vehicle emission factors" should be used.	
Emissions =  Total activity for vehicle category (in km, miles or tonne-km)  x  Emission Factor									
	A worked example of "Method 2: Generic vehicle emission factors":
- The PHEV car has travelled 10,000 miles in a year.
- In 2023, the conversion factors for PHEV Car (Large): 0.11397 kg CO2e / mile;
Emissions =  Total activity for vehicle category (in km, miles or tonne-km)  x  Emission Factor
= 10,000 miles x 0.11397 kg CO2e / mile = 1140 kg CO2e. 
Note: the emission factors already account for the average share of driving using electricity or conventional fuel for plug-in hybrid electric vehicles, so the total number of km / miles / tonne-km should be used in calculations.
Emissions from the electricity consumed by the PHEV can be calculated by applying conversion factors in Scope 2 "UK electricity for EVs", Scope 3 "UK electricity T&D for EVs" and "WTT- pass vehs & travel- land".

Note: If the PHEVs are mostly charged in an organisation's sites, care should be taken to avoid double counting with an organisation's general electricity consumption.								
	Note: The Plug-in Hybrid Electric Vehicle category also includes Range-Extended Electric Vehicles (also known as REEVs, ER-EVs or REX).								
Why are emission factors for certain types of electric vehicle missing?									
At the moment there are only a limited number of electric vehicle models on the market, and certain categories are not yet represented by battery electric vehicle or plug-in hybrid electric vehicles.  Emission factors will be added in future updates for these vehicle types, when models in these categories become available in the UK market/fleet.									
Why are emission factors for certain market segment or size of electric vehicle different from other segments or from what is expected?									
The factors for battery electric vehicles or plug-in hybrid electric vehicles across various market segments and sizes are calculated through the weighted average of registered vehicle models in the UK. It is important to note that certain market segments or sizes of electric vehicles may exhibit limited availability of models or a lack of new vehicle registrations in recent years. Consequently, the calculated factors might be influenced by one or two specific vehicle models within these segments, potentially leading to skewed results.
